143	1	0
103	1	0
43	1	0
42	1	0
41	1	0
39	1	0
39	1	0
39	1	0
32	0	0
37	0	0
39	0	0
40	0	0
39	0	0
39	0	0
39	0	0
38	0	0
39	0	0
44	0	1
363	0	1
377	0	1
382	0	1
384	0	1
385	0	1
385	0	1
387	0	1
386	0	1
372	0	0
384	0	0
383	0	0
387	0	0
387	0	0
385	0	0
387	0	0
387	0	0
388	0	0
388	0	0
381	0	0
388	0	0
388	0	0
384	0	0
387	0	0
386	0	0
388	0	0
386	0	0
388	0	0
387	0	0
388	0	0
388	0	0
387	0	0
387	0	0
388	0	0
388	0	0
388	0	0
388	0	0
388	0	0
388	0	0
388	0	0
388	0	0
388	0	0
387	0	0
388	0	0
388	0	0
388	0	0
388	0	0
388	0	0
388	0	0
388	0	0
388	0	0
388	0	0
388	0	0
387	0	0
388	0	0
388	0	0
388	0	0
388	0	0
388	0	0
388	0	0
388	0	0
388	0	0
388	0	0
388	0	0
387	0	0
387	0	0
388	0	0
388	0	0
387	0	0
388	0	0
388	0	0
388	0	0
388	0	0
388	0	0
388	0	0
388	0	0
388	0	0
388	0	0
388	0	0
388	0	0
388	0	0
388	0	0
368	1	0
55	1	0
51	1	0
47	1	0
45	1	0
45	1	0
44	1	0
44	1	0
44	1	0
46	0	0
40	0	0
41	0	0
43	0	0
42	0	0
44	0	0
42	0	0
42	0	0
42	0	0
56	0	1
358	0	1
375	0	1
380	0	1
382	0	1
383	0	1
384	0	1
384	0	1
385	0	1
372	0	0
383	0	0
377	0	0
385	0	0
385	0	0
385	0	0
386	0	0
386	0	0
386	0	0
385	0	0
386	0	0
385	0	0
386	0	0
386	0	0
386	0	0
385	0	0
386	0	0
385	0	0
386	0	0
386	0	0
372	0	0
386	0	0
386	0	0
386	0	0
386	0	0
386	0	0
386	0	0
388	0	0
386	0	0
382	0	0
371	0	0
380	0	0
382	0	0
386	0	0
386	0	0
386	0	0
386	0	0
386	0	0
386	0	0
386	0	0
386	0	0
386	0	0
386	0	0
387	0	0
386	0	0
386	0	0
386	0	0
386	0	0
